seed,habitat,rcp,abun_f,rich_f,div_f,disp,evo
1,2030,2.6,138338.2,857,NA,0,0
1,2050,2.6,132738.6,848,NA,0,0
1,2030,4.5,54044.69,767,NA,0,0
1,2050,4.5,52594.02,755,NA,0,0
1,2030,8.5,21336.92,619,NA,0,0
1,2050,8.5,20046.92,619,NA,0,0
1,2030,2.6,311527,907,371708477,1,0
10,2030,2.6,313371,911,374737333,1,0
11,2030,2.6,310089.6,906,370137475,1,0
100,2030,2.6,312966.1,905,374334791,1,0
110,2030,2.6,310646.7,913,371887137,1,0
111,2030,2.6,312429.3,908,374211192,1,0
1000,2030,2.6,310394.2,910,371818580,1,0
1100,2030,2.6,311226.5,907,371223604,1,0
1110,2030,2.6,311482.1,907,370062234,1,0
1111,2030,2.6,310619.5,907,371774216,1,0
1,2050,2.6,304683.8,903,357811828,1,0
10,2050,2.6,307760.2,908,362166520,1,0
11,2050,2.6,304355.7,904,357631990,1,0
100,2050,2.6,306148.7,899,361153241,1,0
110,2050,2.6,305162.8,906,359763172,1,0
111,2050,2.6,306093.1,903,360660853,1,0
1000,2050,2.6,305964.6,904,359361174,1,0
1100,2050,2.6,305904.1,902,360086042,1,0
1110,2050,2.6,305562.4,897,359743086,1,0
1111,2050,2.6,306517.2,906,362549985,1,0
1,2030,4.5,117911.4,858,80387930,1,0
10,2030,4.5,118087.4,861,80610238,1,0
11,2030,4.5,117706.6,855,80304043,1,0
100,2030,4.5,118933.6,855,81325031,1,0
110,2030,4.5,117325.3,858,79530912,1,0
111,2030,4.5,117228.6,859,80450458,1,0
1000,2030,4.5,116962,859,79729319,1,0
1100,2030,4.5,117169.3,859,80320941,1,0
1110,2030,4.5,117870.4,859,81002476,1,0
1111,2030,4.5,117751.6,863,80378409,1,0
1,2050,4.5,114250,851,77939023,1,0
10,2050,4.5,115150,849,78278870,1,0
11,2050,4.5,115267.1,850,78188796,1,0
100,2050,4.5,115463.8,853,79409394,1,0
110,2050,4.5,115287.5,856,78690016,1,0
111,2050,4.5,114735.7,851,77689449,1,0
1000,2050,4.5,113918.3,849,78272593,1,0
1100,2050,4.5,115258.2,845,78757525,1,0
1110,2050,4.5,114394,850,77333382,1,0
1111,2050,4.5,114511.6,851,77118349,1,0
1,2030,8.5,36368.95,668,4868388,1,0
10,2030,8.5,36493.91,670,4894200,1,0
11,2030,8.5,36749.12,672,4881016,1,0
100,2030,8.5,36437.96,668,4830879,1,0
110,2030,8.5,36678.37,680,4850888,1,0
111,2030,8.5,36465.13,670,4802905,1,0
1000,2030,8.5,36488.61,665,4930796,1,0
1100,2030,8.5,36459.54,669,4905658,1,0
1110,2030,8.5,36622,673,4850196,1,0
1111,2030,8.5,36780.53,673,4893011,1,0
1,2050,8.5,34742.17,652,4525686,1,0
10,2050,8.5,35165.64,657,4547057,1,0
11,2050,8.5,35113.79,660,4586661,1,0
100,2050,8.5,34871.83,663,4518361,1,0
110,2050,8.5,34996.32,663,4566631,1,0
111,2050,8.5,34872.28,661,4483588,1,0
1000,2050,8.5,34939.56,655,4554287,1,0
1100,2050,8.5,35028.79,660,4561447,1,0
1110,2050,8.5,34665.54,657,4460292,1,0
1111,2050,8.5,35006.27,655,4530977,1,0
1,2030,2.6,161260,962,NA,0,1
10,2030,2.6,161265,963,NA,0,1
11,2030,2.6,161260,962,NA,0,1
100,2030,2.6,161260,962,NA,0,1
110,2030,2.6,161260,962,NA,0,1
111,2030,2.6,161265,963,NA,0,1
1000,2030,2.6,161260,962,NA,0,1
1100,2030,2.6,161260,962,NA,0,1
1110,2030,2.6,161265,963,NA,0,1
1111,2030,2.6,161260,962,NA,0,1
1,2050,2.6,155250,956,NA,0,1
10,2050,2.6,155255,957,NA,0,1
11,2050,2.6,155250,956,NA,0,1
100,2050,2.6,155250,956,NA,0,1
110,2050,2.6,155250,956,NA,0,1
111,2050,2.6,155255,957,NA,0,1
1000,2050,2.6,155250,956,NA,0,1
1100,2050,2.6,155250,956,NA,0,1
1110,2050,2.6,155255,957,NA,0,1
1111,2050,2.6,155250,956,NA,0,1
1,2030,4.5,161203.7,958,NA,0,1
10,2030,4.5,161199.2,959,NA,0,1
11,2030,4.5,161203.3,958,NA,0,1
100,2030,4.5,161198.9,958,NA,0,1
110,2030,4.5,161200.7,958,NA,0,1
111,2030,4.5,161205.9,958,NA,0,1
1000,2030,4.5,161205.3,958,NA,0,1
1100,2030,4.5,161206.1,958,NA,0,1
1110,2030,4.5,161206,958,NA,0,1
1111,2030,4.5,161203,958,NA,0,1
1,2050,4.5,155192.8,952,NA,0,1
10,2050,4.5,155188.3,952,NA,0,1
11,2050,4.5,155191.3,952,NA,0,1
100,2050,4.5,155185.6,952,NA,0,1
110,2050,4.5,155191.9,952,NA,0,1
111,2050,4.5,155199.7,952,NA,0,1
1000,2050,4.5,155190.2,952,NA,0,1
1100,2050,4.5,155197.6,952,NA,0,1
1110,2050,4.5,155192.6,952,NA,0,1
1111,2050,4.5,155187.9,952,NA,0,1
1,2030,8.5,81684.04,764,NA,0,1
10,2030,8.5,81660.14,766,NA,0,1
11,2030,8.5,81598.24,767,NA,0,1
100,2030,8.5,81592.32,760,NA,0,1
110,2030,8.5,81678.46,766,NA,0,1
111,2030,8.5,81722.31,761,NA,0,1
1000,2030,8.5,81571.53,762,NA,0,1
1100,2030,8.5,81609.35,766,NA,0,1
1110,2030,8.5,81635.02,763,NA,0,1
1111,2030,8.5,81609.35,762,NA,0,1
1,2050,8.5,78362.09,754,NA,0,1
10,2050,8.5,78303.99,755,NA,0,1
11,2050,8.5,78348.21,755,NA,0,1
100,2050,8.5,78348.48,757,NA,0,1
110,2050,8.5,78329.25,756,NA,0,1
111,2050,8.5,78390.55,754,NA,0,1
1000,2050,8.5,78249.48,756,NA,0,1
1100,2050,8.5,78274.17,755,NA,0,1
1110,2050,8.5,78380.18,756,NA,0,1
1111,2050,8.5,78248.17,756,NA,0,1
