"","habitat","rcp","disp","evo","rich_f","SE_rich","ci_rich","abun_f","ci_abun","SE_abun","reldiv","SE_reldiv","ci_reldiv"
"1",2030,2.6,0,0,857,NA,NA,138338.2,NA,NA,NA,NA,NA
"2",2050,2.6,0,0,848,NA,NA,132738.6,NA,NA,NA,NA,NA
"3",2030,4.5,0,0,767,NA,NA,54044.69,NA,NA,NA,NA,NA
"4",2050,4.5,0,0,755,NA,NA,52594.02,NA,NA,NA,NA,NA
"5",2030,8.5,0,0,619,NA,NA,21336.92,NA,NA,NA,NA,NA
"6",2050,8.5,0,0,619,NA,NA,20046.92,NA,NA,NA,NA,NA
"7",2030,2.6,1,0,908.1,0.781024967590665,1.76667847669009,311475.2,801.470892463124,354.319581106598,409857.067362722,624.53943958205,1412.7082123346
"8",2050,2.6,1,0,903.2,1.04136662345422,2.35557130225345,305815.26,690.815565521079,305.400338426649,398688.938009933,642.535538171363,1453.41538734362
"9",2030,4.5,1,0,858.6,0.76303487615064,1.72598488985275,117694.62,408.61618049912,180.643757957171,93646.3912232404,224.65419474279,508.167788508192
"10",2050,4.5,1,0,850.5,0.89752746785575,2.03020713228971,114823.62,381.152573742035,168.502464076939,91908.6431388065,263.783425392859,596.678108238648
"11",2030,8.5,1,0,670.8,1.28927197372091,2.91633320455671,36554.412,101.690498085978,44.9560115322624,7261.50566374968,25.8377376349444,58.4449625302443
"12",2050,8.5,1,0,658.3,1.16476034731041,2.63468790561615,34940.219,111.902733719889,49.470704562285,6886.83453006925,20.951539707462,47.392382818279
"13",2030,2.6,0,1,962.3,0.152752523165195,0.34552620739967,161261.5,1.72763103699835,0.763762615825973,NA,NA,NA
"14",2050,2.6,0,1,956.3,0.152752523165195,0.34552620739967,155251.5,1.72763103699835,0.763762615825973,NA,NA,NA
"15",2030,4.5,0,1,958.1,0.1,0.2262,161203.21,1.98043809102737,0.875525239180975,NA,NA,NA
"16",2050,4.5,0,1,952,0,0,155191.79,3.07581174723277,1.3597753082373,NA,NA,NA
"17",2030,8.5,0,1,763.7,0.775313556640867,1.75375926512164,81636.076,34.5972942642021,15.2950018851468,NA,NA,NA
"18",2050,8.5,0,1,755.4,0.305505046330389,0.691052414799341,78323.457,37.2698774035844,16.4765152093653,NA,NA,NA
